MRPL13	GO:0003735
APOA4	GO:0001523
NES	GO:0000086
CP	GO:0004322
TNXB	GO:0005178
COX15	GO:0004129
MGST3	GO:0004364
HSD17B7	GO:0016491
POU2F1	GO:0003700
IGFBP1	GO:0001558
SAGE1	GO:0005634
ASL	GO:0004056
REPIN1	GO:0003676
DLG3	GO:0004385
AIF1	GO:0001774
MT1M	GO:0046872
CALM1	GO:0005509
CD200R1	GO:0016021
TGFB1	GO:0005576
MT1F	GO:0046872
CCL3	GO:0000165
MMP16	GO:0004222
LAMC2	GO:0005576
CA1	GO:0004089
ITK	GO:0001865
SHBG	GO:0005497
CDH1	GO:0005509
ITM2B	GO:0001540
CCBL1	GO:0005654
PHEX	GO:0001501
GPR151	GO:0004930
SCARB1	GO:0007155
DCTN6	GO:0005869
MICB	GO:0001913
CACNA1A	GO:0005891
HMGCR	GO:0004420
PTGES	GO:0001516
LPAR3	GO:0000187
SLC6A2	GO:0005328
NOTCH3	GO:0007219
AHSG	GO:0004869
COMP	GO:0005201
DSP	GO:0001533
CYP17A1	GO:0004508
CUX1	GO:0000122
GRIP1	GO:0016358
UBC	GO:0000082
SCD	GO:0004768
TNMD	GO:0001886
EDAR	GO:0001942
FZR1	GO:0000278
ATP8B4	GO:0000287
S100B	GO:0005509
APOE	GO:0005576
SBDS	GO:0042254
PSMB5	GO:0004175
SLC19A1	GO:0005887
ELAC2	GO:0034414
FLNB	GO:0003779
C3	GO:0005576
TAP2	GO:0002481
BECN1	GO:0000045
GMCL1P1	GO:0005515
P2RY2	GO:0004872
MS4A6E	GO:0016021
MTNR1A	GO:0005515
SLC38A1	GO:0003333
GCG	GO:0005102
CHRFAM7A	GO:0005230
GAP43	GO:0005515
HDC	GO:0006520
TRIM32	GO:0000209
CFP	GO:0005576
L1CAM	GO:0005178
QPCT	GO:0006464
NGF	GO:0000186
SNCA	GO:0005737
FGFR1	GO:0005007
PKP4	GO:0016337
INSIG1	GO:0008203
PIK3R3	GO:0005942
ACSM3	GO:0003824
PFDN1	GO:0006457
FTCD	GO:0005542
ALG10	GO:0004583
CTSB	GO:0004197
OGDH	GO:0004591
OLR1	GO:0005654
PDS5B	GO:0005654
MTRR	GO:0010181
HMGA1	GO:0003677
SRF	GO:0000790
CREM	GO:0003677
GSTO1	GO:0004364
BLVRA	GO:0016491
GABBR1	GO:0004965
GLIS3	GO:0005634
E2F1	GO:0000077
KEAP1	GO:0005654
APBA1	GO:0001540
RYR3	GO:0005219
BIN2	GO:0005737
SPAG9	GO:0005078
CYP1A1	GO:0005506
SOD2	GO:0004784
GTF3A	GO:0003676
MLLT3	GO:0006355
CASP3	GO:0004197
MAPK10	GO:0004672
LDHD	GO:0004458
FBXL15	GO:0000086
TAPBPL	GO:0000139
FASLG	GO:0000122
SELPLG	GO:0005886
TRIB2	GO:0004672
CEBPA	GO:0000050
PCSK2	GO:0004252
IL27RA	GO:0002827
RMDN2	GO:0005737
OSTF1	GO:0001503
UTRN	GO:0003779
CPB1	GO:0004180
VDAC1	GO:0005741
EDN1	GO:0000122
NEUROD1	GO:0000978
ADRA1A	GO:0001994
DXO	GO:0005654
SYCP2	GO:0000795
NTF3	GO:0000187
APRT	GO:0009116
MASP1	GO:0005509
ACE	GO:0004180
MTHFD1	GO:0004329
PSD	GO:0001726
PLD2	GO:0035091
TCN2	GO:0015889
DRD1	GO:0001588
LDHA	GO:0016616
ALDOA	GO:0004332
DNM1	GO:0003924
ITGAV	GO:0001525
PLA2G4A	GO:0004622
SYN2	GO:0005524
MPI	GO:0004476
BCL2A1	GO:0005515
CDK5R2	GO:0000079
ATP7A	GO:0000302
APOM	GO:0001523
CHRNA7	GO:0005230
OR10R2	GO:0004888
PCMT1	GO:0004719
PNMT	GO:0008168
DYM	GO:0005515
BCR	GO:0005089
POMC	GO:0005179
MARK1	GO:0000226
CALR	GO:0005509
SLC2A4	GO:0005351
CX3CR1	GO:0006935
RAN	GO:0005622
OXT	GO:0001975
CALHM2	GO:0005261
LYPD4	GO:0005886
CRYM	GO:0000122
TP63	GO:0000122
SNX5	GO:0005768
NR3C2	GO:0003700
MEF2D	GO:0003677
CTNNB1	GO:0004871
SPARC	GO:0005509
AQP1	GO:0003091
RXRB	GO:0000977
CTRL	GO:0004252
NUP214	GO:0000278
SAR1A	GO:0005525
KCNIP3	GO:0005509
SULT1E1	GO:0008146
FOCAD	GO:0005515
TELO2	GO:0000781
SP4	GO:0000981
GOLGA2	GO:0005794
APOC1	GO:0005576
FGFR3	GO:0001501
WDR1	GO:0005737
FRMD6	GO:0005856
MIXL1	GO:0000790
BPTF	GO:0008270
CHAF1B	GO:0000790
TAF8	GO:0046982
RTN3	GO:0012505
ERBB4	GO:0004714
PCDH11X	GO:0005509
ANG	GO:0001525
PHB2	GO:0016020
APC	GO:0000281
NLRP1	GO:0005524
DNAH5	GO:0003341
OXA1L	GO:0016021
ABL1	GO:0000287
GH1	GO:0005179
GPX1	GO:0004602
TRAK2	GO:0005102
MT1B	GO:0046872
GRAMD4	GO:0006915
KL	GO:0002526
HPGDS	GO:0000287
BMS1	GO:0005524
PLA2G6	GO:0006629
ARHGEF7	GO:0005089
RHBDL2	GO:0004252
XK	GO:0005215
CAMKMT	GO:0005634
PARP1	GO:0000122
UTS2R	GO:0001604
UTS2B	GO:0001664
NPC2	GO:0005515
PPIA	GO:0000413
RBMS3	GO:0000166
PPP3CA	GO:0004721
ITPR1	GO:0005220
CNTNAP2	GO:0071205
NFRKB	GO:0031011
ABCC8	GO:0005524
CCL17	GO:0005102
DAB2	GO:0000904
TH	GO:0004511
EIF2AK2	GO:0000186
CYP2C9	GO:0004497
HPGD	GO:0016491
NETO1	GO:0032983
ODC1	GO:0005737
BTN3A2	GO:0002456
BLM	GO:0003677
TNFRSF11B	GO:0001501
KRT17	GO:0005198
TNNI3	GO:0005861
ROCK1	GO:0004674
REM1	GO:0005516
TLR2	GO:0001666
NUP62	GO:0005643
CCL2	GO:0005576
MSRA	GO:0005654
GC	GO:0005499
PPP2R2B	GO:0000159
LAD1	GO:0005198
IGF2BP2	GO:0000166
CD4	GO:0007155
USF2	GO:0005654
TSHZ1	GO:0010468
TRPC6	GO:0005829
CRYAB	GO:0005212
UBE2K	GO:0005634
CD2AP	GO:0001726
ALB	GO:0005615
ADRB1	GO:0001659
HTRA2	GO:0004252
NRG1	GO:0005622
TRAF2	GO:0004842
SLC39A6	GO:0016020
CDKN1B	GO:0004861
GATA1	GO:0003700
VTI1A	GO:0000139
HDAC6	GO:0000118
F13A1	GO:0018149
TGFB2	GO:0000902
GRIN2C	GO:0004970
CXCR4	GO:0000187
DR1	GO:0000122
AMD1	GO:0004014
SSSCA1	GO:0005515
PLA2G7	GO:0003847
ARHGAP24	GO:0007165
NEFH	GO:0000226
GIP	GO:0005179
ENTPD7	GO:0008152
PPIL2	GO:0000413
HSPG2	GO:0001523
KRIT1	GO:0005856
APBB2	GO:0001540
SPTBN1	GO:0003779
APBB1IP	GO:0005515
C5AR1	GO:0000187
FGG	GO:0005102
IL1R2	GO:0004910
SNCB	GO:0005737
SERPINE1	GO:0001300
RAB6A	GO:0005525
PIK3CB	GO:0002250
TFF2	GO:0005515
EIF2S2	GO:0001701
ALDH2	GO:0004029
FANCB	GO:0005515
MAOA	GO:0005739
NGB	GO:0005344
JUNB	GO:0000122
IGF1R	GO:0004714
DRD2	GO:0001963
NTRK1	GO:0004714
VKORC1	GO:0005789
GCLC	GO:0004357
SCAP	GO:0016021
ELN	GO:0005201
AKR1C4	GO:0001523
TBP	GO:0003677
EGR3	GO:0005634
SLC2A9	GO:0005351
APOC2	GO:0001523
GAPDHS	GO:0016620
HSPB6	GO:0005212
FASN	GO:0001649
PHF1	GO:0008270
KIR2DS4	GO:0005886
PDGFRA	GO:0001553
CYP11B2	GO:0002017
ALOX5	GO:0005506
CAMK4	GO:0005516
RNASEL	GO:0003723
MS4A6A	GO:0016021
IRS2	GO:0002053
TNS1	GO:0005622
PTGFR	GO:0004958
SLC6A4	GO:0005335
HRES1	GO:0003674
PSG1	GO:0005515
RGS4	GO:0005886
GMNC	GO:0003682
KIAA1462	GO:0005911
CYP26A1	GO:0005506
ITGA2B	GO:0002576
KRT8	GO:0005198
PDK1	GO:0004672
TP53	GO:0002039
ADRA1D	GO:0001986
SDF4	GO:0005509
RFTN1	GO:0001765
MAMLD1	GO:0003674
ALOX5AP	GO:0002540
AKT1	GO:0004672
SMARCA5	GO:0000183
F2RL3	GO:0007596
DPPA2	GO:0003682
TSPY3	GO:0005634
ACTG2	GO:0005524
SORBS3	GO:0007015
VPS35	GO:0005770
IL6ST	GO:0002675
SEMA4D	GO:0000122
UBQLN1	GO:0031396
EGR2	GO:0000978
MPZ	GO:0005887
MEF2A	GO:0003677
SORCS1	GO:0016021
CD5L	GO:0005044
TNFAIP3	GO:0003677
CAMK2A	GO:0004674
SGCA	GO:0016012
TFCP2	GO:0005634
NMU	GO:0006940
MNAT1	GO:0005654
ESCO1	GO:0000785
PRH1	GO:0005515
GMCL1	GO:0005635
STAT3	GO:0003677
AKR1C1	GO:0016491
OR6N1	GO:0004930
TSPO	GO:0005737
HBG2	GO:0005344
PTH	GO:0000122
IGF1	GO:0001501
NELFE	GO:0000166
BDNF	GO:0005169
HIF1A	GO:0003700
REG3A	GO:0005515
PMM2	GO:0004615
PCNA	GO:0000082
CREB3	GO:0003700
CST8	GO:0004869
TET1	GO:0001826
RPS3A	GO:0003735
NOTCH1	GO:0000122
PLOD1	GO:0001666
SIRT1	GO:0005634
IL10	GO:0002237
MTR	GO:0005622
SLC6A12	GO:0005328
COL4A2	GO:0001525
FZD5	GO:0000139
PPIB	GO:0000413
ANKMY1	GO:0046872
TLR9	GO:0000139
ATAT1	GO:0005829
ADIPOR1	GO:0004872
BRD8	GO:0005654
CFH	GO:0005515
ABCG5	GO:0005524
IL6R	GO:0004896
LRRC4	GO:0005515
HLA-E	GO:0000139
CHGA	GO:0030141
ITSN1	GO:0005509
IGF2R	GO:0001889
SLC27A2	GO:0001676
COL6A2	GO:0005515
MYC	GO:0003700
LIPA	GO:0000902
SEMA3A	GO:0001764
ARHGAP9	GO:0007165
TCN1	GO:0005576
CADM1	GO:0016021
KCNV2	GO:0005251
TSPY10	GO:0005634
ADAMTS4	GO:0001501
EEF2K	GO:0004674
IL4	GO:0001774
BLOC1S3	GO:0001654
LTC4S	GO:0004364
CFTR	GO:0005254
ARF1	GO:0000139
TRIB3	GO:0003714
LTA	GO:0001666
MT1H	GO:0046872
SYBU	GO:0017075
REN	GO:0001822
DSPP	GO:0001501
TIAF1	GO:0003674
PABPN1	GO:0000166
NR0B1	GO:0003700
MLXIPL	GO:0003700
PDLIM1	GO:0001666
MAGI2	GO:0005923
PITRM1	GO:0003824
CUBN	GO:0005509
ELK3	GO:0003700
SAA1	GO:0005615
MAK16	GO:0005730
OPTN	GO:0005634
INS	GO:0005179
GGA1	GO:0005622
GRIN1	GO:0005234
GPX3	GO:0004602
NAT2	GO:0008152
